Year,School ID,School Name,Network,Governance,School Type,Community Area,Unit,School,Total,PE,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2005-2006,610058.0,,,,,,4670.0,May ,751.0,,,,67.0,64.0,103.0,71.0,69.0,83.0,72.0,95.0,0.0,0.0,0.0,0.0
2005-2006,610282.0,,,,,,7040.0,McNair,678.0,,,,68.0,68.0,86.0,74.0,88.0,89.0,51.0,65.0,0.0,0.0,0.0,0.0
2005-2006,610092.0,,,,,,5050.0,Nash,730.0,,,,59.0,58.0,88.0,71.0,98.0,90.0,78.0,62.0,0.0,0.0,0.0,0.0
2005-2006,610158.0,,,,,,5720.0,Sayre ,513.0,,,,55.0,62.0,65.0,43.0,61.0,55.0,56.0,60.0,0.0,0.0,0.0,0.0
2005-2006,610183.0,,,,,,6000.0,Spencer,1078.0,,,,111.0,113.0,114.0,116.0,100.0,127.0,124.0,110.0,0.0,0.0,0.0,0.0
2005-2006,610235.0,,,,,,6520.0,Young,1503.0,,,,141.0,187.0,155.0,162.0,166.0,184.0,172.0,168.0,0.0,0.0,0.0,0.0
2005-2006,609780.0,,,,,,2090.0,Ames,762.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,392.0,370.0,0.0,0.0,0.0,0.0
2005-2006,609922.0,,,,,,3390.0,Belmont-Cragin,592.0,,,,23.0,24.0,28.0,31.0,31.0,31.0,30.0,28.0,0.0,0.0,0.0,0.0
2005-2006,609835.0,,,,,,2610.0,Cameron,1153.0,,,,115.0,107.0,140.0,107.0,118.0,165.0,89.0,101.0,0.0,0.0,0.0,0.0
2005-2006,610021.0,,,,,,4290.0,Casals,609.0,,,,53.0,59.0,57.0,64.0,73.0,76.0,58.0,69.0,0.0,0.0,0.0,0.0
2005-2006,609853.0,,,,,,2760.0,Chase,632.0,,,,58.0,63.0,66.0,55.0,68.0,58.0,56.0,69.0,0.0,0.0,0.0,0.0
2005-2006,609854.0,,,,,,2770.0,Chopin,292.0,,,,27.0,33.0,29.0,37.0,27.0,23.0,41.0,27.0,0.0,0.0,0.0,0.0
2005-2006,609863.0,,,,,,2850.0,Columbus,273.0,,,,25.0,36.0,40.0,32.0,26.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0
2005-2006,609875.0,,,,,,2960.0,Darwin,872.0,,,,69.0,96.0,96.0,102.0,90.0,96.0,109.0,85.0,0.0,0.0,0.0,0.0
2005-2006,609930.0,,,,,,3460.0,Funston,641.0,,,,83.0,90.0,81.0,74.0,79.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,609942.0,,,,,,3560.0,Goethe,675.0,,,,56.0,63.0,58.0,56.0,66.0,77.0,77.0,77.0,0.0,0.0,0.0,0.0
2005-2006,610068.0,,,,,,4770.0,Hanson Park,1422.0,,,,182.0,179.0,184.0,173.0,134.0,148.0,123.0,65.0,0.0,0.0,0.0,0.0
2005-2006,610031.0,,,,,,4400.0,Lafayette,668.0,,,,57.0,76.0,70.0,68.0,75.0,69.0,49.0,55.0,0.0,0.0,0.0,0.0
2005-2006,610040.0,,,,,,4500.0,Lloyd,1341.0,,,,206.0,205.0,208.0,187.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610044.0,,,,,,4540.0,Lowell,837.0,,,,65.0,73.0,88.0,75.0,89.0,88.0,77.0,87.0,0.0,0.0,0.0,0.0
2005-2006,609968.0,,,,,,3770.0,McAuliffe,828.0,,,,109.0,109.0,110.0,112.0,126.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610073.0,,,,,,4840.0,Mitchell,254.0,,,,25.0,28.0,19.0,19.0,29.0,30.0,26.0,35.0,0.0,0.0,0.0,0.0
2005-2006,610076.0,,,,,,4870.0,Moos,726.0,,,,71.0,83.0,70.0,68.0,74.0,76.0,67.0,78.0,0.0,0.0,0.0,0.0
2005-2006,610088.0,,,,,,5000.0,Mozart,994.0,,,,146.0,117.0,159.0,108.0,137.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610097.0,,,,,,5100.0,Nixon,1053.0,,,,175.0,140.0,149.0,124.0,114.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610098.0,,,,,,5110.0,Nobel,868.0,,,,70.0,98.0,93.0,100.0,97.0,103.0,73.0,56.0,0.0,0.0,0.0,0.0
2005-2006,610051.0,,,,,,4600.0,Northwest Mid,1135.0,,,,0.0,0.0,0.0,0.0,0.0,394.0,370.0,371.0,0.0,0.0,0.0,0.0
2005-2006,610106.0,,,,,,5210.0,Piccolo,888.0,,,,96.0,94.0,113.0,107.0,112.0,82.0,77.0,72.0,0.0,0.0,0.0,0.0
2005-2006,610320.0,,,,,,7510.0,Roque De Duprey,322.0,,,,22.0,16.0,25.0,34.0,44.0,58.0,54.0,55.0,0.0,0.0,0.0,0.0
2005-2006,610165.0,,,,,,5800.0,Schubert,1362.0,,,,230.0,235.0,213.0,221.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610192.0,,,,,,6080.0,Stowe,1181.0,,,,128.0,90.0,126.0,111.0,141.0,134.0,117.0,132.0,0.0,0.0,0.0,0.0
2005-2006,610210.0,,,,,,6280.0,Von Humboldt,823.0,,,,62.0,93.0,99.0,72.0,81.0,74.0,65.0,81.0,0.0,0.0,0.0,0.0
2005-2006,610100.0,,,,,,5140.0,West Park ,770.0,,,,87.0,83.0,71.0,85.0,77.0,100.0,99.0,61.0,0.0,0.0,0.0,0.0
2005-2006,610234.0,,,,,,6510.0,Yates,904.0,,,,83.0,80.0,94.0,73.0,89.0,107.0,78.0,84.0,0.0,0.0,0.0,0.0
2005-2006,609773.0,,,,,,2030.0,Agassiz,388.0,,,,34.0,33.0,39.0,38.0,49.0,43.0,46.0,44.0,0.0,0.0,0.0,0.0
2005-2006,609774.0,,,,,,2040.0,Alcott,466.0,,,,48.0,44.0,46.0,45.0,51.0,32.0,46.0,42.0,0.0,0.0,0.0,0.0
2005-2006,609776.0,,,,,,2060.0,Andersen,572.0,,,,39.0,56.0,59.0,56.0,51.0,83.0,48.0,71.0,0.0,0.0,0.0,0.0
