Year,Network,School_ID,School_Name,White_n,White_pct,Black_n,Black_pct,Asian_n,Asian_pct,NativeAmerican_n,NativeAmerican_pct,Hispanic_n,Hispanic_pct,Mexican_n,Mexican_pct,PuertoRican_n,PuertoRican_pct,Cuban_n,Cuban_pct,OtherHispanic_n,OtherHispanic_pct,MENA_n,MENA_pct,Multiracial_n,Multiracial_pct,Hawaiian/Pacific Islander_n,Hawaiian/Pacific Islander_pct,Asian/Pacific Islander (Retired)_n,Asian/Pacific Islander (Retired)_pct,Not Available_n,Not Available_pct
1999-2000,,,,52.0,6.1,28.0,3.3,2.0,0.2,0.0,0.0,773.0,90.4,566.0,66.0,185.0,22.0,1.0,0.0,21.0,2.5,,,,,,,,,,
1999-2000,,,,40.0,4.5,69.0,7.8,0.0,0.0,0.0,0.0,776.0,87.7,737.0,83.0,20.0,2.0,0.0,0.0,19.0,2.1,,,,,,,,,,
1999-2000,,,,140.0,24.8,341.0,60.5,4.0,0.7,3.0,0.5,76.0,13.5,72.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,3.0,0.3,1124.0,99.4,0.0,0.0,0.0,0.0,4.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,,,,,,,,,,
1999-2000,,,,81.0,13.5,215.0,36.0,9.0,1.5,4.0,0.7,289.0,48.3,117.0,20.0,127.0,21.0,4.0,1.0,41.0,6.9,,,,,,,,,,
1999-2000,,,,0.0,0.0,164.0,52.7,0.0,0.0,0.0,0.0,147.0,47.3,147.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,6.0,4.0,117.0,78.5,0.0,0.0,1.0,0.7,25.0,16.8,16.0,11.0,3.0,2.0,0.0,0.0,6.0,4.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,2265.0,99.7,0.0,0.0,1.0,0.0,5.0,0.2,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,29.0,4.7,42.0,6.8,5.0,0.8,0.0,0.0,543.0,87.7,287.0,46.0,216.0,35.0,0.0,0.0,40.0,6.5,,,,,,,,,,
1999-2000,,,,40.0,16.1,123.0,49.6,0.0,0.0,0.0,0.0,85.0,34.3,78.0,32.0,3.0,1.0,0.0,0.0,4.0,1.6,,,,,,,,,,
1999-2000,,,,33.0,8.3,208.0,52.1,8.0,2.0,3.0,0.8,147.0,36.8,135.0,34.0,5.0,1.0,1.0,0.0,6.0,1.5,,,,,,,,,,
1999-2000,,,,0.0,0.0,708.0,99.6,2.0,0.3,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,332.0,52.4,47.0,7.4,5.0,0.8,2.0,0.3,247.0,39.0,215.0,34.0,19.0,3.0,6.0,1.0,7.0,1.1,,,,,,,,,,
1999-2000,,,,33.0,1.8,216.0,11.9,8.0,0.4,1.0,0.1,1551.0,85.7,528.0,29.0,925.0,51.0,7.0,0.0,91.0,5.0,,,,,,,,,,
1999-2000,,,,139.0,17.4,31.0,3.9,72.0,9.0,2.0,0.3,555.0,69.5,421.0,53.0,84.0,10.0,0.0,0.0,50.0,6.3,,,,,,,,,,
1999-2000,,,,565.0,36.9,108.0,7.0,502.0,32.7,2.0,0.1,356.0,23.2,249.0,16.0,35.0,2.0,6.0,0.0,66.0,4.3,,,,,,,,,,
1999-2000,,,,328.0,46.6,348.0,49.4,6.0,0.9,1.0,0.1,21.0,3.0,17.0,2.0,2.0,0.0,0.0,0.0,2.0,0.3,,,,,,,,,,
1999-2000,,,,1.0,0.1,986.0,98.4,0.0,0.0,0.0,0.0,15.0,1.5,13.0,1.0,0.0,0.0,0.0,0.0,2.0,0.2,,,,,,,,,,
1999-2000,,,,0.0,0.0,845.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,629.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,142.0,39.4,16.0,4.4,1.0,0.3,0.0,0.0,201.0,55.8,138.0,38.0,58.0,16.0,0.0,0.0,5.0,1.4,,,,,,,,,,
1999-2000,,,,0.0,0.0,884.0,99.9,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,103.0,28.1,30.0,8.2,15.0,4.1,4.0,1.1,215.0,58.6,115.0,31.0,66.0,18.0,4.0,1.0,30.0,8.2,,,,,,,,,,
1999-2000,,,,2.0,0.2,4.0,0.4,0.0,0.0,0.0,0.0,897.0,99.3,875.0,97.0,10.0,1.0,7.0,1.0,5.0,0.6,,,,,,,,,,
1999-2000,,,,0.0,0.0,453.0,99.3,0.0,0.0,0.0,0.0,3.0,0.7,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,10.0,1.2,199.0,24.5,0.0,0.0,0.0,0.0,604.0,74.3,581.0,72.0,17.0,2.0,0.0,0.0,6.0,0.7,,,,,,,,,,
1999-2000,,,,0.0,0.0,1073.0,99.8,0.0,0.0,0.0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,47.0,17.3,61.0,22.5,15.0,5.5,1.0,0.4,147.0,54.2,89.0,33.0,43.0,16.0,2.0,1.0,13.0,4.8,,,,,,,,,,
1999-2000,,,,4.0,0.3,1144.0,99.1,0.0,0.0,0.0,0.0,6.0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,555.0,99.3,0.0,0.0,0.0,0.0,4.0,0.7,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,
1999-2000,,,,0.0,0.0,409.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,380.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,457.0,15.2,970.0,32.2,96.0,3.2,0.0,0.0,1488.0,49.4,1285.0,43.0,109.0,4.0,9.0,0.0,85.0,2.8,,,,,,,,,,
1999-2000,,,,2.0,0.2,930.0,99.0,0.0,0.0,1.0,0.1,6.0,0.6,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,12.0,1.4,268.0,31.4,0.0,0.0,0.0,0.0,574.0,67.2,532.0,62.0,28.0,3.0,0.0,0.0,14.0,1.6,,,,,,,,,,
1999-2000,,,,36.0,3.2,103.0,9.0,1.0,0.1,1.0,0.1,1000.0,87.6,528.0,46.0,397.0,35.0,9.0,1.0,66.0,5.8,,,,,,,,,,
1999-2000,,,,2.0,2.7,67.0,89.3,0.0,0.0,0.0,0.0,6.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,474.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,141.0,7.6,6.0,0.3,0.0,0.0,1.0,0.1,1697.0,92.0,1655.0,90.0,31.0,2.0,0.0,0.0,11.0,0.6,,,,,,,,,,
1999-2000,,,,265.0,18.0,656.0,44.5,16.0,1.1,1.0,0.1,535.0,36.3,501.0,34.0,29.0,2.0,1.0,0.0,4.0,0.3,,,,,,,,,,
1999-2000,,,,49.0,3.4,158.0,11.1,12.0,0.8,0.0,0.0,1208.0,84.7,298.0,21.0,836.0,59.0,7.0,0.0,67.0,4.7,,,,,,,,,,
1999-2000,,,,1.0,0.4,5.0,2.1,0.0,0.0,0.0,0.0,235.0,97.5,222.0,92.0,10.0,4.0,0.0,0.0,3.0,1.2,,,,,,,,,,
1999-2000,,,,118.0,43.5,53.0,19.6,52.0,19.2,5.0,1.8,43.0,15.9,33.0,12.0,5.0,2.0,1.0,0.0,4.0,1.5,,,,,,,,,,
1999-2000,,,,0.0,0.0,741.0,99.9,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,2.0,0.3,643.0,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,604.0,99.8,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
