Network,Total_Enrollment,State English Learners_N,State English Learners_Pct,Students with Disabilities_N,Students with Disabilities_Pct,Economically Disadvantaged_N,Economically Disadvantaged_Pct,Year
Network 10,16681,4597,0.2756,2662,0.1596,11389,0.6828,2021-2022
Network 11,8615,172,0.02,1408,0.1634,6787,0.7878,2021-2022
Network 12,9732,276,0.0284,1318,0.1354,7383,0.7586,2021-2022
Network 13,10328,1077,0.1043,1482,0.1435,7849,0.76,2021-2022
Network 14,26051,4157,0.1596,3998,0.1535,16258,0.6241,2021-2022
Network 15,15141,2325,0.1536,2181,0.144,11890,0.7853,2021-2022
Network 16,12339,2088,0.1692,2293,0.1858,10023,0.8123,2021-2022
Network 17,10661,453,0.0425,1661,0.1558,8391,0.7871,2021-2022
AUSL,7708,1002,0.13,1118,0.145,6221,0.8071,2021-2022
ISP,48663,13567,0.2788,6434,0.1322,29962,0.6157,2021-2022
Charter,50408,9456,0.1876,7664,0.152,41338,0.8201,2021-2022
Contract,1511,44,0.0291,260,0.1721,1051,0.6956,2021-2022
Options,6378,536,0.084,1190,0.1866,5014,0.7861,2021-2022
"Note: ""Economically Disadvantaged Students"" come from families whose income is within 185 percent of the federal poverty line. The District formerly referred to these students as ""Free or Reduced Lunch Eligible Students,"" and adopted the new term after the federal government, under the Community Eligibility Provision, funded breakfasts and lunches for all students if more than 40 percent of students qualify. ",,,,,,,,2021-2022
"Note: ""Bilingual"" refers to the state defintions of students who are English learners.",,,,,,,,2021-2022
"There were 449 students enrolled in the Virtual Academy, however they are all attributed to their brick and mortar schools.",,,,,,,,2021-2022
Network 1,21522,6084,0.2827,3137,0.1458,9888,0.4594,2020-2021
Network 2,10383,2940,0.2832,1550,0.1493,5996,0.5775,2020-2021
Network 3,11405,3361,0.2947,1755,0.1539,7986,0.7002,2020-2021
Network 4,16331,3341,0.2046,2026,0.1241,6996,0.4284,2020-2021
Network 5,7980,915,0.1147,1281,0.1605,6554,0.8213,2020-2021
Network 6,9556,1535,0.1606,1306,0.1367,4977,0.5208,2020-2021
Network 7,7448,3326,0.4466,1085,0.1457,6138,0.8241,2020-2021
Network 8,11343,5093,0.449,1629,0.1436,8574,0.7559,2020-2021
Network 9,8693,153,0.0176,1087,0.125,6028,0.6934,2020-2021
Network 10,16210,3621,0.2234,2637,0.1627,10030,0.6188,2020-2021
Network 11,8917,349,0.0391,1525,0.171,7316,0.8205,2020-2021
Network 12,9109,285,0.0313,1228,0.1348,7115,0.7811,2020-2021
Network 13,10306,971,0.0942,1578,0.1531,7941,0.7705,2020-2021
Network 14,24108,3452,0.1432,3801,0.1577,11950,0.4957,2020-2021
Network 15,15570,1933,0.1241,2182,0.1401,10631,0.6828,2020-2021
Network 16,10725,1828,0.1704,2131,0.1987,7668,0.715,2020-2021
Network 17,10672,416,0.039,1604,0.1503,7282,0.6823,2020-2021
AUSL,14745,1599,0.1084,2075,0.1407,12263,0.8317,2020-2021
ISP,56190,12736,0.2267,6781,0.1207,31508,0.5607,2020-2021
Charter,51364,8745,0.1703,7788,0.1516,35306,0.6874,2020-2021
Contract,1455,33,0.0227,242,0.1663,865,0.5945,2020-2021
Options,6626,597,0.0901,1227,0.1852,4380,0.661,2020-2021
 ,,,,,,,,2020-2021
"Note: ""Economically Disadvantaged Students"" come from families whose income is within 185 percent of the federal poverty line. The District formerly referred to these students as ""Free or Reduced Lunch Eligible Students,"" and adopted the new term after the federal government, under the Community Eligibility Provision, funded breakfasts and lunches for all students if more than 40 percent of students qualify. ",,,,,,,,2020-2021
"Note: ""Bilingual"" refers to the state defintions of students who are English learners.",,,,,,,,2020-2021
Network 1,35853,8487,0.2367,5211,0.1453,23145,0.6456,2019-2020
Network 2,24697,6974,0.2824,3407,0.138,18551,0.7511,2019-2020
Network 3,19827,4750,0.2396,2856,0.144,17903,0.903,2019-2020
Network 4,24570,4709,0.1917,2633,0.1072,14843,0.6041,2019-2020
Network 5,15352,1833,0.1194,2343,0.1526,13872,0.9036,2019-2020
Network 6,14577,2294,0.1574,1827,0.1253,9933,0.6814,2019-2020
Network 7,16211,6546,0.4038,2344,0.1446,14906,0.9195,2019-2020
Network 8,22879,7186,0.3141,2840,0.1241,21150,0.9244,2019-2020
Network 9,13533,220,0.0163,1611,0.119,10900,0.8054,2019-2020
Network 10,24752,4390,0.1774,3717,0.1502,19686,0.7953,2019-2020
Network 11,16332,352,0.0216,2705,0.1656,14570,0.8921,2019-2020
Network 12,13778,410,0.0298,2196,0.1594,12289,0.8919,2019-2020
Network 13,15484,1246,0.0805,2106,0.136,13697,0.8846,2019-2020
AUSL,16882,1492,0.0884,2229,0.132,15609,0.9246,2019-2020
Service Leadership Academies,3076,193,0.0627,266,0.0865,2840,0.9233,2019-2020
ISP,39852,7889,0.198,4455,0.1118,25752,0.6462,2019-2020
Charter,53853,6904,0.1282,7577,0.1407,47403,0.8802,2019-2020
Contract,1688,10,0.0059,227,0.1345,1288,0.763,2019-2020
Options,8153,319,0.0391,1543,0.1893,7563,0.9276,2019-2020
"Note: ""Economically Disadvantaged Students"" come from families whose income is within 185 percent of the federal poverty line. The District formerly referred to these students as ""Free or Reduced Lunch Eligible Students,"" and adopted the new term after the federal government, under the Community Eligibility Provision, funded breakfasts and lunches for all students if more than 40 percent of students qualify. ",,,,,,,,2019-2020
"Note: ""Bilingual"" refers to the state defintions of students who are English learners.",,,,,,,,2019-2020
"Note: The EL data set was updated on October 10, 2020 to align with the State's definition of EL.",,,,,,,,2019-2020
AUSL,17970,1325,0.07373400111296606,2358,0.13121869782971618,17392,0.9678352810239288,2014-2015
Service Leadership Academies,3086,169,0.05476344782890473,286,0.09267660401814647,2876,0.931950745301361,2014-2015
Network 1,40425,9118,0.2255534941249227,5636,0.1394186765615337,29158,0.7212863327149042,2014-2015
Network 2,26243,7210,0.27473993064817287,3354,0.12780551004077279,21576,0.8221621003696223,2014-2015
Network 3,23364,5666,0.24250984420475946,3055,0.1307567197397706,22415,0.959381955144667,2014-2015
Network 4,29246,5022,0.17171579019353073,2976,0.10175750529987007,18649,0.6376598509197839,2014-2015
Network 5,16120,2242,0.13908188585607942,2213,0.13728287841191067,15239,0.945347394540943,2014-2015
Network 6,21846,2938,0.1344868625835393,2483,0.11365925112148677,13771,0.6303671152613751,2014-2015
Network 7,17891,7364,0.4116035995752054,2340,0.13079201833324017,17483,0.977195237829076,2014-2015
Network 8,30169,10823,0.35874573237429147,3235,0.10722927508369519,29343,0.9726209022506547,2014-2015
Network 9,14082,207,0.01469961653174265,1586,0.1126260474364437,12091,0.8586138332623207,2014-2015
Network 10,26279,4358,0.1658358385022261,3781,0.1438791430419727,21286,0.8100003805319838,2014-2015
Network 11,16895,286,0.016928085232317255,2477,0.14661142349807635,15680,0.9280852323172536,2014-2015
Network 12,13334,345,0.025873706314684265,1806,0.13544322783860807,12478,0.935803209839508,2014-2015
Network 13,16568,1501,0.09059633027522936,2022,0.12204249154997586,15349,0.9264244326412361,2014-2015
OS4,19493,1639,0.08408146514133279,3135,0.16082696352536807,18489,0.9484943312984148,2014-2015
Options,9387,263,0.028017470970491103,1634,0.17407052306381166,8703,0.9271332694151486,2014-2015
Contract,1835,27,0.014713896457765668,260,0.14168937329700274,1413,0.7700272479564033,2014-2015
Charter,52450,5878,0.11206863679694948,6789,0.12943755958055292,47852,0.9123355576739752,2014-2015
"Note: ""Economically Disadvantaged Students"" come from families whose income is within 185 percent of the federal poverty line. The District formerly referred to these students as ""Free or Reduced Lunch Eligible Students,"" and adopted the new term after the federal government, under the Community Eligibility Provision, funded breakfasts and lunches for all students if more than 40 percent of students qualify. ",,,,,,,,2014-2015
Network 1,40966,8964,0.2188,5648,0.1379,29101,0.7104,2013-2014
Network 2,27164,6945,0.2557,3446,0.1269,22407,0.8249,2013-2014
Network 3,24562,5791,0.2358,3200,0.1303,23313,0.9491,2013-2014
Network 4,29154,5290,0.1815,2852,0.0978,18381,0.6305,2013-2014
Network 5,18120,2360,0.1302,2486,0.1372,16959,0.9359,2013-2014
Network 6,20823,2580,0.1239,2387,0.1146,12818,0.6156,2013-2014
Network 7,18558,7724,0.4162,2276,0.1226,18130,0.9769,2013-2014
Network 8,29176,11208,0.3842,2954,0.1012,28216,0.9671,2013-2014
Network 9,14764,149,0.0101,1657,0.1122,12312,0.8339,2013-2014
Network 10,24929,4470,0.1793,3428,0.1375,19387,0.7777,2013-2014
Network 11,18891,212,0.0112,2654,0.1405,17389,0.9205,2013-2014
Network 12,14696,395,0.0269,2013,0.137,13593,0.9249,2013-2014
Network 13,17128,1569,0.0916,2036,0.1189,15672,0.915,2013-2014
AUSL,17059,1378,0.0808,2224,0.1304,16151,0.9468,2013-2014
Charter,54572,4279,0.0784,6815,0.1249,49557,0.9081,2013-2014
Contract,2597,37,0.0142,352,0.1355,2104,0.8102,2013-2014
Military,2708,57,0.021,246,0.0908,2489,0.9191,2013-2014
OS4,22303,1816,0.0814,3336,0.1496,20441,0.9165,2013-2014
Options,2375,50,0.0211,459,0.1933,2048,0.8623,2013-2014
Austin-North Lawndale Elementary Network,17021,384,0.0226,2058,0.1209,16074,0.9444,2011-2012
Burnham Park Elementary Network,15989,116,0.0073,1595,0.0998,13489,0.8436,2011-2012
Englewood-Gresham Elementary Network,14531,29,0.002,1745,0.1201,13772,0.9478,2011-2012
Far South Side High School Network,10877,138,0.0127,1512,0.139,9706,0.8923,2011-2012
Fullerton Elementary Network,33387,10896,0.3264,3678,0.1102,28027,0.8395,2011-2012
Fulton Elementary Network,13607,1929,0.1418,2003,0.1472,10653,0.7829,2011-2012
Garfield-Humboldt Elementary Network,14026,1395,0.0995,1483,0.1057,13334,0.9507,2011-2012
Lake Calumet Elementary Network,13278,1563,0.1177,1440,0.1085,12290,0.9256,2011-2012
Midway Elementary Network,34886,10500,0.301,3973,0.1139,31744,0.9099,2011-2012
North-Northwest Side High School Network,35192,3008,0.0855,4532,0.1288,28100,0.7985,2011-2012
O'Hare Elementary Network,30430,7664,0.2519,3790,0.1245,21304,0.7001,2011-2012
Pershing Elementary Network,22391,7176,0.3205,2222,0.0992,20932,0.9348,2011-2012
Pilsen-Little Village Elementary Network,17854,7861,0.4403,1848,0.1035,16756,0.9385,2011-2012
Ravenswood-Ridge Elementary Network,27947,7562,0.2706,3250,0.1163,19662,0.7035,2011-2012
Rock Island Elementary Network,12465,17,0.0014,1524,0.1223,9337,0.7491,2011-2012
Skyway Elementary Network,18250,434,0.0238,2058,0.1128,16831,0.9222,2011-2012
South Side High School Network,23411,372,0.0159,3405,0.1454,20990,0.8966,2011-2012
Southwest Side High School Network,22391,1451,0.0648,3327,0.1486,20910,0.9339,2011-2012
West Side High School Network,26218,1400,0.0534,3976,0.1517,23318,0.8894,2011-2012
