School Information,"Includes School Name, School Type, Community Area, Network, and Opportunity Index score (where applicable).",Year,Source_File,Source_Sheet,School Name,School Type,Network,Community Area,Opportunity Index,Fall 2024 Total Enrollment,Fall 2024 K-12 Non-Cluster Enrollment,Fall 2023 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2023 to Fall 2024,Student : Teacher Ratio for Core Classroom Teachers (Unadjusted for Floor),Per-Pupil Total For Need-Based Flexible Funding (Unadjusted for Floor),Per-Pupil Total For Title I Funding,Core Classroom,Holistic (ES Only),Title I Interventionists,Supplemental Programmatic Teachers,Critical Language Teachers,Other (Misc Grant-Funded),Teachers Received on Appeal,Teacher Positions Liquidated for Discretionary Dollars (Reference Only),Principal,Asst. Principal,Clerk,Counselor,Restorative Justice Coord.,Athletic Director,Athletic Stipends,School Assistant,Part-Time Operational Position,Other Central FTEs (incl. Awarded on Appeal),Liquidated AP,Liquidated RJC,Liquidated School Assistant,Liquidated Part-Time Operations Bucket,Teachers,Asst. Principal.1,Clerk.1,Counselor.1,Restorative Justice Coord..1,Tech Coord.,Teacher/ Classroom Assistants,Other Non-Teacher Discretionary Staff,Discretionary Non-FTE Funding,Special Ed Teachers,Special Ed Paraprofessionals,Case Managers,Other Special Ed FTEs,Early Childhood Teachers,Early Childhood Paraprofessionals,Other Early Chlidhood FTEs,Early College (ECCE) Positions,College & Career Coaches,STEM Coords & Teachers,IB Coord.,RGC & RGC-EL Coord.,Personalized Learning Coord.,Montessori Program Coord.,Montessori Positions,JROTC Positions,Bilingual & Dual Language Coordinators,STLS Advocates,Instructional Support Buckets,Lead Coaches,Lunchroom,Security,Whole School Safety Funding,School and District Improvement Grant (SDI) Allocation,School Internal Account Funded Teacher Positions,School Internal Account Funded Non-Teacher Positions,Fall 2024 PE/PK Enrollment,Fall 2024 K-12 Enrollment,Fall 2023 Total Enrollment,Change in Total Enrollment from Fall 2023 to Fall 2024,Centrally Allocated General Education Teachers,Fall 2025 Total Enrollment,Fall 2025 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2024 to Fall 2025,Loss Cap Teachers,Critical/World Language Teachers,School Operations Support - Add'l Flexible Funding,Other Central FTEs (incl. Class Size TA's),School Internal Account Funded AP Positions,Fall 2025 PE/PK Enrollment,Fall 2025 K-12 Enrollment,Change in Total Enrollment from Fall 2024 to Fall 2025,Centrally Allocated Teachers,Other Centrally-Allocated Positions
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,WENTWORTH,Elementary,Network 11,WEST ENGLEWOOD,44.0,,337.0,,,23:1,761.0,481.5,16.0,4.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,276603.25,15.0,16.0,1.0,0.0,3.0,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15000.0,1.0,4.0,3.0,0.0,50000.0,0.0,0.0,,,,,,452.0,361.0,24.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,WHISTLER,Elementary,Network 13,WEST PULLMAN,37.0,,189.0,,,23:1,677.0,520.0,10.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184268.0,7.0,19.0,0.5,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,220.0,164.0,-25.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,WHITNEY,Elementary,Network 7,SOUTH LAWNDALE,35.0,,530.0,,,25:1,653.0,459.5,20.0,4.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,141028.2,7.0,9.0,0.5,0.0,3.0,2.0,0.3399999999999998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15000.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,,,,,,501.0,476.0,-54.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,WHITTIER,Elementary,Network 7,LOWER WEST SIDE,41.0,,201.0,,,23:1,725.0,393.5,10.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,96006.5,3.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15000.0,0.0,2.0,1.0,0.0,50000.0,0.0,0.0,,,,,,188.0,178.0,-23.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,PRITZKER,Elementary,Network 6,WEST TOWN,17.0,,657.0,,,27:1,437.0,0.0,25.0,5.0,0.0,,,,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,1.0,,,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46162.91,6.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,15000.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,681.0,662.0,5.0,0.0,0.0,40000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,WILDWOOD,Elementary,Network 1,FOREST GLEN,15.0,,478.0,,,27:1,413.0,0.0,18.0,4.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50106.09,7.0,12.0,0.5,0.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,516.0,478.0,0.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,YATES,Elementary,Network 5,LOGAN SQUARE,38.0,,214.0,,,23:1,689.0,481.5,10.0,3.0,1.0,,,,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,182436.8,14.0,17.0,1.0,0.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,235.0,185.0,-29.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,YOUNG ES,Elementary,Network 3,AUSTIN,31.0,,381.0,,,25:1,605.0,437.5,15.0,3.0,1.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116221.0,9.0,11.0,0.5,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,1.0,4.0,1.0,0.0,30000.0,0.0,0.0,,,,,,382.0,364.0,-17.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,BEETHOVEN,Elementary,Network 9,GRAND BOULEVARD,43.0,,293.0,,,23:1,749.0,531.0,12.0,3.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,128692.97,7.0,16.0,1.0,0.0,3.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15000.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,,,293.0,254.0,-39.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,BOND,Elementary,Network 11,ENGLEWOOD,46.0,,180.0,,,23:1,785.0,531.0,10.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,227385.25,8.0,5.0,0.5,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15000.0,1.0,3.0,2.0,0.0,75000.0,0.0,0.0,,,,,,213.0,161.0,-19.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,DALEY,Elementary,Network 8,NEW CITY,43.0,,477.0,,,23:1,749.0,437.5,20.0,4.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,183553.25,5.0,5.0,0.5,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15000.0,0.0,5.0,2.0,0.0,20000.0,0.0,0.0,,,,,,490.0,459.0,-18.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,BRENNEMANN,Elementary,Network 2,UPTOWN,33.0,,395.0,,,25:1,629.0,415.5,15.0,4.0,1.0,,,,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,195215.87,10.0,17.0,1.0,0.0,5.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,451.0,373.0,-22.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,CATHER,Elementary,Network 5,EAST GARFIELD PARK,38.0,,246.0,,,23:1,689.0,509.0,11.0,3.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135319.0,11.0,19.0,1.0,0.0,4.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15000.0,0.0,3.0,2.0,0.0,30000.0,0.0,0.0,,,,,,326.0,247.0,1.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,DETT,Elementary,Network 6,NEAR WEST SIDE,33.0,,243.0,,,25:1,629.0,542.0,10.0,3.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90855.51,9.0,27.0,1.0,0.0,4.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,1.0,3.0,2.0,0.0,30000.0,0.0,0.0,,,,,,326.0,246.0,3.0,0.0,0.0,20000.0,2.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,DVORAK,Elementary,Network 7,NORTH LAWNDALE,42.0,,259.0,,,23:1,737.0,492.5,10.0,3.0,1.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.51,61205.39,4.0,7.0,0.5,0.0,3.0,2.0,0.4900000000000002,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15000.0,0.0,3.0,1.0,0.0,5500.0,0.0,0.0,,,,,,242.0,221.0,-38.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,ROBINSON,Elementary,Network 9,OAKLAND,35.0,,94.0,,,25:1,653.0,498.0,4.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58687.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,2.0,1.0,0.0,50000.0,0.0,0.0,,,,,,122.0,100.0,6.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,MORTON,Elementary,Network 5,HUMBOLDT PARK,33.0,,245.0,,,25:1,629.0,360.5,11.0,3.0,1.0,,,,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,224192.39,9.0,7.0,0.5,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,3.0,1.83,0.0,31000.0,0.0,0.0,,,,,,288.0,266.0,21.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,DULLES,Elementary,Network 9,GREATER GRAND CROSSING,34.0,,621.0,,,25:1,641.0,564.0,23.0,5.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1499999999999999,517723.79,7.0,20.0,1.0,0.0,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,5.0,2.85,0.0,0.0,0.0,0.0,,,,,,597.0,553.0,-68.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,BRONZEVILLE CLASSICAL,Elementary,Network 9,GRAND BOULEVARD,22.0,,457.0,,,27:1,497.0,0.0,17.0,4.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,161712.44,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,,441.0,441.0,-16.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,ASHE,Elementary,Network 12,CHATHAM,40.0,,348.0,,,23:1,713.0,415.5,15.0,3.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224541.92,4.0,12.0,0.5,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,3.0,2.0,0.0,30000.0,0.0,0.0,,,,,,355.0,329.0,-19.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,MCCUTCHEON,Elementary,Network 2,UPTOWN,32.0,,230.0,,,25:1,617.0,437.5,10.0,3.0,1.0,,,,0.0,-1.0,1.0,0.0,2.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,1.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,28542.81,13.0,27.0,1.0,0.0,4.0,2.0,0.0600000000000005,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,,,,,,317.0,216.0,-14.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,JOHNSON,Elementary,Network 5,NORTH LAWNDALE,44.0,,180.0,,,23:1,761.0,520.0,10.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,51646.6,7.0,8.0,0.5,0.0,1.0,1.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15000.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,,,220.0,197.0,17.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,MOLLISON,Elementary,Network 9,GRAND BOULEVARD,39.0,,216.0,,,23:1,701.0,520.0,10.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223009.0,4.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,1.0,4.0,2.0,0.0,30000.0,0.0,0.0,,,,,,214.0,202.0,-14.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,TANNER,Elementary,Network 12,GREATER GRAND CROSSING,37.0,,257.0,,,23:1,677.0,514.5,11.0,3.0,1.0,,,,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,89984.5,5.0,13.0,0.5,0.0,4.0,2.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,4.0,1.0,0.0,31000.0,0.0,0.0,,,,,,247.0,231.0,-26.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,POWELL,Elementary,Network 12,SOUTH SHORE,32.0,,519.0,,,25:1,617.0,503.5,21.0,5.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,310600.5,9.0,14.0,0.5,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,1.0,3.0,3.0,0.0,30000.0,0.0,0.0,,,,,,550.0,520.0,1.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,MCNAIR,Elementary,Network 3,AUSTIN,41.0,,264.0,,,23:1,725.0,481.5,11.0,4.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149939.0,12.0,52.0,1.0,0.0,3.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15000.0,0.0,3.0,1.0,0.0,15000.0,0.0,0.0,,,,,,342.0,253.0,-11.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,MAYS,Elementary,Network 11,ENGLEWOOD,41.0,,263.0,,,23:1,725.0,503.5,11.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,125565.62,4.0,8.0,0.5,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15000.0,1.0,4.0,2.0,0.0,75000.0,0.0,0.0,,,,,,254.0,242.0,-21.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,LEE,Elementary,ISP,WEST LAWN,35.0,,580.0,,,25:1,653.0,432.0,22.0,5.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,,,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,239014.61,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,,,,,,536.0,536.0,-44.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,MELODY,Elementary,Network 5,WEST GARFIELD PARK,41.0,,293.0,,,23:1,725.0,509.0,13.0,3.0,1.0,,,,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,166188.26,6.0,12.0,0.5,0.0,2.0,2.0,2.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15000.0,0.0,5.0,3.0,0.0,15000.0,0.0,0.0,,,,,,331.0,280.0,-13.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,KING ES,Elementary,Network 11,ENGLEWOOD,43.0,,198.0,,,23:1,749.0,509.0,10.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,193705.75,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15000.0,1.0,2.0,1.0,0.0,75000.0,0.0,0.0,,,,,,231.0,219.0,21.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,WESTCOTT,Elementary,Network 11,CHATHAM,36.0,,323.0,,,25:1,665.0,520.0,12.0,3.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,182276.9,8.0,11.0,0.5,0.0,5.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15000.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,359.0,295.0,-28.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,LELAND,Elementary,Network 3,AUSTIN,42.0,,296.0,,,23:1,737.0,492.5,17.0,4.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,0.0,,,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82243.0,7.0,19.0,1.0,0.0,6.0,3.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,5.0,3.0,0.0,30000.0,0.0,0.0,,,,,,441.0,387.0,91.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,MCDOWELL,Elementary,ISP,CALUMET HEIGHTS,31.0,,98.0,,,25:1,605.0,454.0,6.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83881.11,4.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,100.0,86.0,-12.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,WHITE,Elementary,Network 13,WEST PULLMAN,39.0,,99.0,,,23:1,701.0,531.0,10.0,3.0,0.0,,,,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,130308.6,3.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,120.0,107.0,8.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,EARHART,Elementary,Network 12,CALUMET HEIGHTS,27.0,,194.0,,,25:1,557.0,382.5,10.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114403.7,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,206.0,206.0,12.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,BRIGHTON PARK,Elementary,Network 8,BRIGHTON PARK,40.0,,279.0,,,23:1,713.0,443.0,13.0,3.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.81,,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90349.13,7.0,8.0,0.5,0.0,1.0,1.0,0.1899999999999999,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,3.0,1.0,0.0,20000.0,0.0,0.0,,,,,,304.0,289.0,10.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,EVERGREEN,Elementary,Network 8,MCKINLEY PARK,40.0,,188.0,,,23:1,713.0,437.5,8.0,3.0,0.0,,,,0.0,-2.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196069.65,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,176.0,176.0,-12.0,0.0,1.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,STAGG,Elementary,Network 11,ENGLEWOOD,43.0,,336.0,,,23:1,749.0,492.5,15.0,3.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,113172.5,10.0,11.0,1.0,0.0,4.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,4.0,0.85,0.0,15000.0,0.0,0.0,,,,,,396.0,337.0,1.0,0.0,0.0,20000.0,0.0,0.0,,,,,
